agent_name,total_utilization,Lotus,Pearl,Haven,Icebox,Split,Ascent,Fracture
Tejo,68.0,83.0,67.0,44.0,30.0,100.0,63.0,100.0
Omen,51.0,86.0,0.0,82.0,3.0,73.0,100.0,0.0
Breach,49.0,81.0,0.0,74.0,0.0,100.0,0.0,100.0
Yoru,36.0,25.0,89.0,32.0,3.0,47.0,29.0,0.0
Viper,35.0,47.0,0.0,0.0,100.0,83.0,0.0,0.0
Vyse,33.0,33.0,75.0,21.0,0.0,0.0,75.0,22.0
Jett,30.0,0.0,31.0,29.0,80.0,27.0,42.0,0.0
Sova,30.0,3.0,28.0,56.0,73.0,0.0,46.0,0.0
Cypher,25.0,11.0,17.0,79.0,0.0,3.0,21.0,56.0
Astra,24.0,0.0,100.0,18.0,0.0,27.0,0.0,0.0
Neon,20.0,50.0,11.0,32.0,0.0,0.0,0.0,50.0
Killjoy,17.0,0.0,8.0,0.0,100.0,0.0,4.0,6.0
Kayo,15.0,0.0,14.0,0.0,27.0,0.0,75.0,0.0
Fade,13.0,28.0,50.0,0.0,0.0,0.0,0.0,0.0
Raze,12.0,25.0,0.0,0.0,0.0,27.0,0.0,44.0
Brimstone,9.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
Harbor,7.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0
Waylay,6.0,0.0,6.0,9.0,0.0,0.0,29.0,6.0
Iso,4.0,3.0,0.0,24.0,0.0,0.0,0.0,0.0
Gekko,4.0,0.0,0.0,0.0,27.0,0.0,0.0,0.0
Clove,4.0,22.0,0.0,0.0,0.0,0.0,0.0,0.0
Deadlock,2.0,3.0,0.0,0.0,0.0,0.0,17.0,0.0
Chamber,2.0,0.0,6.0,0.0,0.0,0.0,0.0,17.0
Sage,2.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0
Reyna,1.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0
Skye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
