agent_name,total_utilization,Ascent,Bind,Sunset,Haven,Lotus,Corrode,Icebox
Omen,80.0,100.0,19.0,100.0,100.0,100.0,92.0,42.0
Sova,54.0,89.0,0.0,72.0,97.0,16.0,13.0,88.0
Viper,46.0,0.0,92.0,22.0,25.0,47.0,54.0,100.0
Cypher,40.0,56.0,0.0,72.0,75.0,34.0,29.0,0.0
Fade,39.0,11.0,61.0,28.0,3.0,78.0,96.0,0.0
Yoru,32.0,36.0,22.0,28.0,47.0,38.0,46.0,8.0
Raze,30.0,0.0,72.0,28.0,0.0,84.0,13.0,0.0
Jett,24.0,78.0,0.0,0.0,6.0,0.0,8.0,83.0
Kayo,24.0,64.0,19.0,19.0,0.0,6.0,29.0,25.0
Neon,23.0,0.0,0.0,61.0,50.0,16.0,29.0,0.0
Killjoy,17.0,11.0,0.0,0.0,22.0,9.0,0.0,100.0
Gekko,14.0,0.0,58.0,0.0,0.0,0.0,29.0,13.0
Vyse,13.0,22.0,11.0,6.0,3.0,31.0,17.0,0.0
Breach,12.0,0.0,0.0,31.0,31.0,16.0,0.0,0.0
Deadlock,10.0,0.0,19.0,22.0,0.0,16.0,13.0,0.0
Astra,8.0,0.0,42.0,0.0,0.0,0.0,13.0,0.0
Brimstone,7.0,0.0,39.0,0.0,0.0,0.0,4.0,0.0
Iso,6.0,0.0,6.0,0.0,34.0,0.0,0.0,0.0
Chamber,5.0,19.0,0.0,0.0,0.0,9.0,4.0,0.0
Sage,4.0,0.0,0.0,0.0,0.0,0.0,0.0,38.0
Tejo,4.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0
Phoenix,3.0,0.0,0.0,11.0,6.0,0.0,4.0,0.0
Skye,3.0,0.0,19.0,0.0,0.0,0.0,0.0,0.0
Waylay,2.0,3.0,6.0,0.0,0.0,0.0,8.0,0.0
Harbor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Clove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reyna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
