agent_name,total_utilization,Lotus,Haven,Ascent,Icebox,Fracture,Pearl,Split
Tejo,62.0,48.0,47.0,78.0,68.0,88.0,50.0,63.0
Omen,61.0,100.0,97.0,88.0,11.0,0.0,0.0,88.0
Yoru,39.0,42.0,56.0,44.0,14.0,0.0,54.0,58.0
Viper,38.0,58.0,16.0,0.0,100.0,0.0,0.0,88.0
Breach,30.0,46.0,28.0,0.0,0.0,100.0,0.0,29.0
Vyse,29.0,40.0,0.0,44.0,4.0,38.0,75.0,0.0
Cypher,29.0,19.0,84.0,31.0,0.0,38.0,8.0,13.0
Sova,26.0,6.0,56.0,47.0,39.0,0.0,33.0,0.0
Neon,25.0,17.0,38.0,0.0,0.0,81.0,38.0,17.0
Killjoy,25.0,4.0,16.0,16.0,79.0,23.0,54.0,0.0
Jett,22.0,0.0,13.0,56.0,64.0,0.0,21.0,8.0
Fade,20.0,46.0,0.0,22.0,0.0,0.0,21.0,33.0
Raze,17.0,46.0,0.0,0.0,0.0,19.0,0.0,42.0
Kayo,16.0,0.0,0.0,41.0,64.0,0.0,17.0,0.0
Astra,15.0,0.0,3.0,13.0,0.0,0.0,100.0,13.0
Brimstone,12.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0
Iso,10.0,15.0,38.0,0.0,7.0,0.0,0.0,0.0
Deadlock,8.0,4.0,9.0,9.0,0.0,0.0,0.0,38.0
Waylay,6.0,10.0,0.0,3.0,7.0,12.0,0.0,8.0
Chamber,4.0,0.0,0.0,0.0,14.0,0.0,17.0,0.0
Phoenix,2.0,0.0,0.0,6.0,0.0,0.0,13.0,0.0
Harbor,2.0,0.0,0.0,3.0,11.0,0.0,0.0,0.0
Reyna,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Gekko,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0
Skye,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0
Sage,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Clove,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
