agent_name,total_utilization,Lotus,Haven,Corrode,Sunset,Ascent,Bind,Icebox
Omen,78.0,93.0,100.0,97.0,100.0,100.0,0.0,22.0
Viper,59.0,88.0,44.0,90.0,10.0,0.0,89.0,100.0
Sova,51.0,0.0,75.0,37.0,77.0,100.0,0.0,100.0
Fade,42.0,100.0,8.0,60.0,23.0,0.0,71.0,0.0
Yoru,34.0,23.0,53.0,13.0,23.0,57.0,57.0,0.0
Neon,34.0,18.0,53.0,60.0,90.0,0.0,0.0,0.0
Vyse,30.0,68.0,11.0,43.0,10.0,46.0,11.0,0.0
Raze,29.0,75.0,0.0,10.0,7.0,0.0,82.0,11.0
Cypher,27.0,3.0,56.0,0.0,73.0,46.0,0.0,0.0
Jett,18.0,0.0,19.0,0.0,3.0,54.0,0.0,83.0
Killjoy,16.0,5.0,33.0,0.0,0.0,7.0,0.0,100.0
Brimstone,13.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0
Kayo,11.0,0.0,0.0,13.0,13.0,43.0,14.0,0.0
Chamber,10.0,3.0,0.0,27.0,10.0,36.0,0.0,0.0
Breach,10.0,8.0,11.0,0.0,43.0,0.0,0.0,0.0
Skye,8.0,0.0,17.0,10.0,0.0,0.0,29.0,0.0
Sage,7.0,0.0,0.0,17.0,13.0,0.0,0.0,28.0
Iso,4.0,0.0,19.0,0.0,0.0,0.0,0.0,11.0
Deadlock,4.0,0.0,0.0,0.0,3.0,11.0,14.0,0.0
Tejo,4.0,13.0,0.0,0.0,0.0,0.0,11.0,0.0
Harbor,3.0,0.0,0.0,0.0,0.0,0.0,0.0,39.0
Waylay,3.0,0.0,0.0,20.0,0.0,0.0,0.0,6.0
Gekko,3.0,0.0,0.0,0.0,0.0,0.0,21.0,0.0
Clove,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0
Astra,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0
Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reyna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
