agent_name,total_utilization,Abyss,Fracture,Haven,Pearl,Bind,Lotus,Split
Astra,47.0,82.0,27.0,0.0,94.0,38.0,21.0,60.0
Raze,41.0,0.0,77.0,0.0,0.0,81.0,64.0,100.0
Sova,40.0,91.0,18.0,67.0,67.0,0.0,0.0,0.0
Omen,38.0,36.0,0.0,100.0,6.0,6.0,86.0,60.0
Cypher,38.0,32.0,64.0,78.0,17.0,6.0,29.0,20.0
Breach,37.0,23.0,86.0,67.0,6.0,0.0,21.0,40.0
Yoru,36.0,55.0,14.0,44.0,39.0,19.0,29.0,60.0
Tejo,28.0,23.0,36.0,28.0,33.0,38.0,21.0,0.0
Jett,28.0,64.0,0.0,44.0,61.0,0.0,0.0,0.0
Fade,27.0,18.0,23.0,6.0,11.0,6.0,79.0,80.0
Brimstone,21.0,0.0,73.0,0.0,0.0,56.0,0.0,0.0
Kayo,21.0,36.0,9.0,6.0,56.0,25.0,0.0,0.0
Vyse,20.0,18.0,9.0,0.0,28.0,31.0,50.0,10.0
Viper,18.0,0.0,0.0,0.0,0.0,69.0,36.0,60.0
Killjoy,17.0,0.0,14.0,22.0,61.0,0.0,14.0,0.0
Gekko,9.0,0.0,9.0,0.0,0.0,56.0,0.0,0.0
Skye,8.0,0.0,9.0,0.0,0.0,44.0,0.0,10.0
Chamber,8.0,9.0,18.0,0.0,17.0,0.0,0.0,0.0
Sage,4.0,5.0,9.0,0.0,0.0,6.0,7.0,0.0
Harbor,4.0,9.0,0.0,6.0,0.0,0.0,14.0,0.0
Iso,3.0,0.0,0.0,22.0,0.0,0.0,0.0,0.0
Neon,3.0,0.0,5.0,11.0,0.0,0.0,0.0,0.0
Deadlock,3.0,0.0,0.0,0.0,0.0,19.0,0.0,0.0
Clove,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
Reyna,2.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0
Phoenix,1.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0
Waylay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
