agent_name,total_utilization,Lotus,Bind,Fracture,Pearl,Abyss,Split,Haven
Raze,51.0,77.0,94.0,72.0,0.0,0.0,88.0,0.0
Omen,44.0,96.0,0.0,0.0,0.0,63.0,44.0,100.0
Sova,40.0,12.0,0.0,17.0,78.0,100.0,0.0,100.0
Astra,37.0,15.0,17.0,0.0,100.0,75.0,56.0,0.0
Fade,32.0,81.0,61.0,0.0,11.0,0.0,38.0,0.0
Cypher,29.0,19.0,0.0,28.0,0.0,44.0,69.0,57.0
Breach,28.0,4.0,0.0,100.0,0.0,19.0,31.0,57.0
Killjoy,27.0,19.0,0.0,50.0,78.0,0.0,0.0,43.0
Brimstone,26.0,0.0,83.0,100.0,0.0,0.0,0.0,0.0
Jett,25.0,4.0,0.0,0.0,56.0,88.0,6.0,43.0
Vyse,24.0,42.0,50.0,11.0,39.0,0.0,6.0,0.0
Tejo,23.0,19.0,11.0,67.0,17.0,13.0,25.0,7.0
Neon,22.0,19.0,6.0,39.0,39.0,6.0,13.0,36.0
Kayo,21.0,0.0,50.0,0.0,33.0,63.0,6.0,0.0
Viper,20.0,50.0,33.0,0.0,0.0,6.0,19.0,14.0
Deadlock,13.0,15.0,28.0,6.0,0.0,6.0,31.0,0.0
Gekko,9.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0
Skye,7.0,4.0,0.0,6.0,6.0,0.0,38.0,0.0
Yoru,7.0,0.0,0.0,0.0,17.0,6.0,13.0,21.0
Iso,6.0,12.0,0.0,0.0,6.0,0.0,0.0,21.0
Chamber,5.0,4.0,0.0,6.0,0.0,13.0,13.0,0.0
Phoenix,3.0,0.0,0.0,0.0,22.0,0.0,0.0,0.0
Clove,2.0,8.0,6.0,0.0,0.0,0.0,0.0,0.0
Sage,1.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0
Reyna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Harbor,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waylay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
