agent_name,total_utilization,Lotus,Corrode,Haven,Bind,Icebox,Ascent,Sunset
Omen,74.0,100.0,85.0,100.0,0.0,23.0,100.0,100.0
Viper,56.0,66.0,68.0,25.0,68.0,100.0,17.0,46.0
Sova,51.0,5.0,26.0,84.0,0.0,100.0,100.0,75.0
Fade,44.0,95.0,74.0,16.0,64.0,0.0,0.0,25.0
Yoru,36.0,42.0,32.0,69.0,36.0,0.0,46.0,21.0
Neon,34.0,21.0,53.0,69.0,0.0,4.0,25.0,63.0
Raze,29.0,74.0,12.0,0.0,86.0,0.0,0.0,13.0
Cypher,25.0,5.0,15.0,66.0,4.0,0.0,29.0,63.0
Killjoy,23.0,18.0,0.0,19.0,0.0,92.0,42.0,0.0
Deadlock,20.0,11.0,32.0,16.0,43.0,0.0,17.0,25.0
Vyse,19.0,50.0,21.0,16.0,11.0,0.0,25.0,0.0
Jett,14.0,0.0,3.0,0.0,0.0,81.0,29.0,0.0
Sage,13.0,0.0,18.0,0.0,0.0,65.0,4.0,13.0
Waylay,11.0,5.0,15.0,13.0,11.0,0.0,8.0,25.0
Astra,9.0,0.0,24.0,0.0,36.0,0.0,0.0,0.0
Brimstone,9.0,0.0,0.0,0.0,64.0,0.0,0.0,0.0
Kayo,7.0,0.0,3.0,0.0,21.0,4.0,29.0,0.0
Gekko,5.0,0.0,0.0,0.0,39.0,0.0,0.0,0.0
Chamber,5.0,0.0,9.0,0.0,0.0,8.0,21.0,0.0
Breach,5.0,5.0,0.0,0.0,0.0,0.0,0.0,33.0
Iso,4.0,0.0,9.0,9.0,0.0,8.0,0.0,0.0
Harbor,2.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0
Tejo,2.0,3.0,0.0,0.0,4.0,0.0,8.0,0.0
Skye,2.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0
Clove,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0
Phoenix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Reyna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
